dimension,rand_degree,heuristic function,time,steps
3,5,h1,7,5.415
3,5,h1,5,1.665
3,5,h1,7,4.13
3,5,h1,5,0.935
3,5,h1,6,1.495
3,5,h1,5,0.97
3,5,h1,7,3.255
3,5,h1,5,1.895
3,5,h1,6,2.375
3,5,h1,5,0.615
4,5,h1,7,2.53
4,5,h1,6,1.845
4,5,h1,5,1.27
4,5,h1,6,1.46
4,5,h1,5,1.265
4,5,h1,5,2.17
4,5,h1,5,1.84
4,5,h1,5,1.51
4,5,h1,6,1.755
4,5,h1,8,2.76
5,5,h1,5,1.88
5,5,h1,6,2.885
5,5,h1,6,3.84
5,5,h1,5,1.955
5,5,h1,7,3.185
5,5,h1,5,2.465
5,5,h1,5,2.205
5,5,h1,5,2.215
5,5,h1,5,2.22
5,5,h1,5,1.97
3,10,h1,568,556.125
3,10,h1,107,37.15
3,10,h1,427,333.24
3,10,h1,950,1365.255
3,10,h1,838,1100.69
3,10,h1,218,95.015
3,10,h1,112,34.03
3,10,h1,340,201.775
3,10,h1,113,32.66
3,10,h1,356,224.855
4,10,h1,130,83.905
4,10,h1,11,3.215
4,10,h1,377,512.91
4,10,h1,614,1450.575
4,10,h1,1732,9389.105
4,10,h1,286,301.47
4,10,h1,244,249.255
4,10,h1,586,1321.71
4,10,h1,1489,7039.45
4,10,h1,216,209.1
5,10,h1,1209,10802.195
5,10,h1,3435,78840.825
5,10,h1,37,21.87
5,10,h1,10,3.945
5,10,h1,1225,11081.29
5,10,h1,10,4.65
5,10,h1,10,3.745
5,10,h1,,170353.6
5,10,h1,2603,45484.08
5,10,h1,28,11.97
3,15,h1,,35267.25
3,15,h1,3828,20631.015
3,15,h1,,34929.69
3,15,h1,,35039.66
3,15,h1,,35903.73
3,15,h1,2892,11885.855
3,15,h1,1476,3197.86
3,15,h1,486,396.585
3,15,h1,,35384.29
3,15,h1,,34432.71
4,15,h1,,74774.405
4,15,h1,,75038.575
4,15,h1,2422,16745.645
4,15,h1,,74020.79
4,15,h1,2933,24666.355
4,15,h1,,74520.95
4,15,h1,,74105.42
4,15,h1,,75222.93
4,15,h1,,74075.72
4,15,h1,,69052.86
5,15,h1,742,3172.22
5,15,h1,,158452.2
5,15,h1,,131377.395
5,15,h1,,165795.655
5,15,h1,,128414.25
5,15,h1,,121399.54
5,15,h1,,140851.955
5,15,h1,,172309.64
5,15,h1,,152793.34
5,15,h1,,150767.955
3,5,h2,5,2.33
3,5,h2,5,2.595
3,5,h2,5,1.09
3,5,h2,5,0.9
3,5,h2,5,1.635
3,5,h2,5,1.985
3,5,h2,5,2.965
3,5,h2,5,1.175
3,5,h2,5,0.7
3,5,h2,5,0.54
4,5,h2,5,2.095
4,5,h2,5,1.855
4,5,h2,5,1.17
4,5,h2,5,2.365
4,5,h2,5,1.25
4,5,h2,5,3.8
4,5,h2,5,1.57
4,5,h2,5,1.09
4,5,h2,5,1.365
4,5,h2,5,1.895
5,5,h2,5,1.31
5,5,h2,5,1.975
5,5,h2,5,1.78
5,5,h2,5,1.25
5,5,h2,5,4.615
5,5,h2,5,1.815
5,5,h2,5,2.715
5,5,h2,5,2.48
5,5,h2,5,1.685
5,5,h2,5,2.19
3,10,h2,11,2.805
3,10,h2,11,1.385
3,10,h2,11,1.15
3,10,h2,211,90.175
3,10,h2,228,104.47
3,10,h2,41,5.595
3,10,h2,13,1.41
3,10,h2,172,62.765
3,10,h2,10,1.005
3,10,h2,84,18.025
4,10,h2,9,1.595
4,10,h2,10,1.655
4,10,h2,73,31.535
4,10,h2,10,4.15
4,10,h2,1026,3578.38
4,10,h2,10,1.565
4,10,h2,41,10.94
4,10,h2,10,2.245
4,10,h2,127,85.38
4,10,h2,10,1.945
5,10,h2,483,1920.82
5,10,h2,2945,58535.54
5,10,h2,8,2.11
5,10,h2,10,4.85
5,10,h2,160,292.2
5,10,h2,10,3.575
5,10,h2,10,3.03
5,10,h2,,175237.31
5,10,h2,1632,18487.955
5,10,h2,10,2.69
3,15,h2,3126,14129.215
3,15,h2,372,239.87
3,15,h2,,36274.6
3,15,h2,123,33.73
3,15,h2,,36050.245
3,15,h2,678,736.295
3,15,h2,3541,17574.98
3,15,h2,91,19.45
3,15,h2,2426,8513.89
3,15,h2,2767,10603.735
4,15,h2,,73846.115
4,15,h2,1881,10048.6
4,15,h2,2025,12244.22
4,15,h2,3671,35081.06
4,15,h2,440,661.06
4,15,h2,4328,54724.73
4,15,h2,4686,64392.51
4,15,h2,,72418.555
4,15,h2,,76259.33
4,15,h2,604,1139.445
5,15,h2,15,4.415
5,15,h2,4489,133555.685
5,15,h2,2879,46979.99
5,15,h2,,171522.005
5,15,h2,15,4.8
5,15,h2,3561,66998.245
5,15,h2,,141489.19
5,15,h2,,174450.44
5,15,h2,,152272.365
5,15,h2,846,4262.14
